#timestamp x y z qx qy qz qw
1716306485.672251 -4.930517 -5.174453 -0.402306 0.729324 -0.077325 -0.411792 0.540865
1716306486.072304 -4.899632 -5.188579 -0.496500 0.716857 -0.064319 -0.403238 0.565137
1716306486.272331 -4.898828 -5.196309 -0.560033 0.705115 -0.083798 -0.389936 0.586294
1716306486.472358 -4.899902 -5.211476 -0.623086 0.699415 -0.100093 -0.379914 0.597047
1716306486.872412 -4.901297 -5.256434 -0.742746 0.699116 -0.162695 -0.339379 0.607939
1716306487.272465 -4.899305 -5.258950 -0.808451 0.690503 -0.195389 -0.295634 0.630578
1716306487.872544 -4.915455 -5.269591 -0.832940 0.677786 -0.210828 -0.321443 0.626763
1716306488.272596 -4.955056 -5.282336 -0.825660 0.662144 -0.242447 -0.365285 0.607743
1716306488.472624 -4.973220 -5.287494 -0.819374 0.648839 -0.261003 -0.384498 0.602534
1716306489.072703 -5.011017 -5.308698 -0.816236 0.640190 -0.279753 -0.430613 0.571372
1716306489.472756 -5.048019 -5.311869 -0.805142 0.626463 -0.309531 -0.457141 0.550233
1716306489.872808 -5.081093 -5.320770 -0.799249 0.613108 -0.317692 -0.489314 0.532675
1716306490.272861 -5.109107 -5.326363 -0.800238 0.607532 -0.333502 -0.511061 0.508427
1716306490.872940 -5.122802 -5.328659 -0.811312 0.606293 -0.329573 -0.536155 0.486137
1716306491.473018 -5.147340 -5.333272 -0.825242 0.606389 -0.346673 -0.554548 0.452313
1716306492.873201 -5.216038 -5.380293 -0.618850 0.637330 -0.281462 -0.569432 0.436275
1716306493.073227 -5.246130 -5.383209 -0.492639 0.643142 -0.294554 -0.554964 0.437746
1716306493.273253 -5.261295 -5.373096 -0.383820 0.643366 -0.300298 -0.556990 0.430886
1716306493.673306 -5.266993 -5.316489 -0.180025 0.640762 -0.300168 -0.567749 0.420697
1716306493.873332 -5.275411 -5.252117 -0.089244 0.619127 -0.324849 -0.581216 0.416345
1716306494.073358 -5.293231 -5.221635 -0.028590 0.617701 -0.309250 -0.590202 0.417697
1716306494.273384 -5.340640 -5.207306 0.020909 0.616049 -0.342286 -0.579150 0.409767
1716306494.873461 -5.598057 -5.232697 0.091510 0.612323 -0.356993 -0.571265 0.413851
1716306495.273514 -5.676785 -5.268525 0.095728 0.624306 -0.370255 -0.563300 0.394773
1716306495.673566 -5.656137 -5.393033 0.102180 0.622746 -0.356710 -0.568354 0.402391
1716306496.073618 -5.600688 -5.517324 0.134445 0.605652 -0.358232 -0.565566 0.430106
1716306496.473671 -5.644717 -5.599113 0.146647 0.601009 -0.375451 -0.559534 0.429823
1716306496.873723 -5.733710 -5.657598 0.198204 0.606830 -0.386451 -0.466544 0.514538
1716306497.473800 -5.812213 -5.648413 0.287514 0.562401 -0.473376 -0.342647 0.584990
1716306497.873852 -5.825457 -5.612236 0.316182 0.497907 -0.516453 -0.216445 0.662206
1716306498.473932 -5.835962 -5.592421 0.344520 0.471901 -0.546006 -0.155891 0.674451
1716306499.074008 -5.855623 -5.550179 0.346442 0.408240 -0.572372 -0.061399 0.708492
1716306499.474062 -5.878794 -5.528005 0.346796 0.381440 -0.597205 -0.071157 0.701988
