timestamp,dest,src,rssi
1710891329.1716945,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.85
1710891329.3637555,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.95
1710891329.677854,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-54.95
1710891330.1658578,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-55.55
1710891330.4101617,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-56.2
1710891330.5960422,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-56.75
1710891331.2982593,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-57.55
1710891331.4602997,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-58.15
1710891331.539203,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-58.7
1710891331.5714529,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-59.1
1710891331.786779,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-60.15
1710891331.8094313,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.1
1710891331.8379984,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.6
1710891332.0896063,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-62.1
1710891332.2631001,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.9
1710891332.3266013,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.8
1710891332.3476617,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.8
1710891332.6736317,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.75
1710891332.73589,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.6
1710891332.7533028,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.3
1710891332.766384,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.2
1710891332.7844508,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.0
1710891333.1763113,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.25
1710891333.2083113,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.25
1710891333.5737507,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.15
1710891333.9310596,44:12:44:69:9d:f2,e4:5f:01:d4:9d:ce,-61.2
